First Name,Last Name,Position,Jersey,Team,Games Played,Points,Total Goals,1pt Goals,2pt Goals,Scoring Points,Assists,Shots,Shot Pct,Shots On Goal,SOG Pct,2pt Shots,2pt Shot Pct,2pt Shots On Goal,Groundballs,Turnovers,Touches,Total Passes,Caused Turnovers,Faceoffs,Faceoff Wins,Faceoff Losses,Faceoff Pct,Saves,Save Pct,Scores Against,Scores Against Average,2pt Goals Against,2pt GAA,Time On Field,Total Penalties,Penalty Minutes,Power Play Goals,Power Play Shots,Short Handed Goals,Short Handed Shots,Short Handed Goals Against,Power Play Goals Against
Reece,Eddy,LSM,9,Archers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Holden,Garlent,D,70,Redwoods,7,0,0,0,0,0,0,1,0,1,1,0,0,0,8,2,25,22,2,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,0,0,0,,0
Michael,Rexrode,D,22,Atlas,10,0,0,0,0,0,0,1,0,1,1,0,0,0,9,3,45,41,12,1,0,1,0,0,0,0,0,0,0,0,2,1.5,0,0,0,0,,0
Garrett,Epple,D,52,Cannons,10,0,0,0,0,0,0,0,0,0,0,0,0,0,20,4,93,89,20,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,0,0,,0
Tim,Muller,D,14,Whipsnakes,10,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,76,76,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Trevor,Baptiste,FO,9,Atlas,10,6,5,5,0,5,1,13,0.38461538461538464,9,0.6923076923076923,1,0,1,109,9,133,111,0,263,174,88,0.6615969581749049,0,0,0,0,0,0,0,5,2.5,0,0,0,0,,0
Dox,Aitken,M,6,Atlas,10,16,15,15,0,15,1,49,0.30612244897959184,32,0.6530612244897959,6,0,3,16,13,249,187,0,1,0,1,0,0,0,0,0,0,0,0,3,2,0,1,0,0,,0
Craig,Chick,LSM,13,Cannons,5,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,14,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Jake,Richard,SSDM,10,Waterdogs,9,2,0,0,0,0,2,3,0,3,1,0,0,0,8,1,55,51,3,14,0,13,0,0,0,0,0,0,0,0,4,2,0,0,0,0,,0
Colin,Heacock,M,10,Whipsnakes,9,9,8,8,0,8,1,23,0.34782608695652173,18,0.782608695652174,1,0,0,7,7,116,86,0,0,0,0,0,0,0,0,0,0,0,0,2,1.5,0,0,0,0,,0
Danny,Logan,SSDM,91,Atlas,10,2,2,2,0,2,0,8,0.25,5,0.625,2,0,1,9,0,73,65,3,26,2,24,0.07692307692307693,0,0,0,0,0,0,0,4,2.5,0,0,0,0,,0
Ryan,Drenner,M,22,Cannons,10,15,10,8,2,12,3,32,0.3125,19,0.59375,4,0.5,2,7,4,224,188,1,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,3,0,0,,0
Charlie,Bertrand,M,41,Redwoods,10,17,14,13,1,15,2,52,0.2692307692307692,36,0.6923076923076923,2,0.5,2,5,9,225,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,,0
Ryder,Garnsey,A,50,Redwoods,10,26,13,12,1,14,12,59,0.22033898305084745,30,0.5084745762711864,4,0.25,1,12,23,339,257,2,0,0,0,0,0,0,0,0,0,0,0,1,1,3,10,0,0,,0
Christian,Scarpello,SSDM,50,Waterdogs,9,1,1,1,0,1,0,3,0.3333333333333333,2,0.6666666666666666,2,0,1,12,3,66,60,4,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Mikie,Schlosser,M,59,Waterdogs,3,2,2,2,0,2,0,4,0.5,3,0.75,0,0,0,0,2,40,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Connor,Kelly,M,40,Waterdogs,9,15,11,10,1,12,3,56,0.19642857142857142,36,0.6428571428571429,18,0.05555555555555555,8,6,6,203,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,0,0,,0
Bryan,Costabile,M,26,Atlas,9,19,11,11,0,11,8,47,0.23404255319148937,28,0.5957446808510638,11,0,3,12,11,228,170,2,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,2,0,0,,0
Bryce,Young,D,41,Cannons,10,0,0,0,0,0,0,0,0,0,0,0,0,0,14,3,59,56,11,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,,0
Jeff,Teat,A,7,Atlas,10,64,28,28,0,28,36,79,0.35443037974683544,53,0.6708860759493671,0,0,0,26,24,413,310,1,0,0,0,0,0,0,0,0,0,0,0,1,0.5,4,8,0,0,,0
Chris,Sabia,LSM,16,Waterdogs,6,0,0,0,0,0,0,3,0,2,0.6666666666666666,1,0,1,11,1,24,20,5,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,,0
Tre,Leclaire,M,44,Archers,10,23,21,19,2,23,0,42,0.5,28,0.6666666666666666,6,0.3333333333333333,3,8,8,169,119,0,0,0,0,0,0,0,0,0,0,0,0,4,3,2,2,0,0,,0
Jared,Conners,LSM,28,Redwoods,10,3,2,2,0,2,1,7,0.2857142857142857,3,0.42857142857142855,4,0,1,33,8,77,62,4,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,,0
Kieran,McArdle,A,6,Waterdogs,10,34,22,22,0,22,12,78,0.28205128205128205,48,0.6153846153846154,2,0,2,12,22,333,233,3,0,0,0,0,0,0,0,0,0,0,0,2,2,2,5,0,0,,0
Alexander,Smith,SSDM,39,Outlaws,7,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,23,21,3,1,0,1,0,0,0,0,0,0,0,0,1,0.5,0,0,0,0,,0
Matthew,Dunn,D,33,Whipsnakes,10,4,2,2,0,2,2,5,0.4,4,0.8,2,0,1,13,2,67,60,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Kyle,Bernlohr,G,35,Whipsnakes,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,6,0,0,0,0,0,1,0.111111111111111,8,22.5,0,0,1024,0,0,0,0,0,0,,0
Joseph,Nardella,FO,91,Whipsnakes,9,5,5,5,0,5,0,8,0.625,7,0.875,0,0,0,93,11,117,98,0,243,164,76,0.6748971193415638,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Michael,Sowers,A,22,Waterdogs,10,37,18,18,0,18,19,62,0.2903225806451613,46,0.7419354838709677,5,0,3,8,17,344,265,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,0,0,,0
Connor,Kirst,M,34,Cannons,10,15,12,11,1,13,2,31,0.3870967741935484,22,0.7096774193548387,3,0.3333333333333333,2,16,6,131,94,1,19,4,15,0.21052631578947367,0,0,0,0,0,0,0,0,0,1,2,0,0,,0
Chris,Aslanian,M,3,Cannons,8,11,8,6,2,10,1,33,0.24242424242424243,20,0.6060606060606061,9,0.2222222222222222,5,0,5,169,131,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,,0
Jake,Pulver,D,12,Cannons,4,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,13,13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Jeff,Trainor,SSDM,43,Cannons,10,10,5,4,1,6,4,11,0.45454545454545453,7,0.6363636363636364,4,0.25,2,14,5,91,75,6,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,,0
Jules,Heningburg,A,8,Chaos,9,15,10,10,0,10,5,31,0.3225806451612903,24,0.7741935483870968,1,0,0,6,13,230,186,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,0,,0
TD,Ierlan,FO,6,Redwoods,10,4,4,4,0,4,0,13,0.3076923076923077,8,0.6153846153846154,1,0,0,81,2,88,73,2,238,143,94,0.6008403361344538,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Matt,Kavanagh,A,50,Cannons,6,9,5,4,1,6,3,29,0.1724137931034483,14,0.4827586206896552,2,0.5,2,7,9,141,103,2,0,0,0,0,0,0,0,0,0,0,0,2,1.5,0,0,0,0,,0
Tim,Troutner,G,42,Atlas,5,0,0,0,0,0,0,2,0,1,0.5,2,0,1,13,2,86,82,3,0,0,0,0,61,0.508333333333333,66,13.803921568627452,7,1.4640522875817,13770,0,0,0,0,0,0,,5
BJ,Farrare,LSM,70,Redwoods,2,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,6,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Brian,Minicus,M,7,Chaos,10,10,6,6,0,6,4,30,0.2,15,0.5,1,0,0,10,12,147,105,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,,0
Ryan,Kennedy,LSM,35,Redwoods,2,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Josh,Zawada,M,79,Outlaws,10,16,6,6,0,6,10,37,0.16216216216216217,22,0.5945945945945946,1,0,1,12,11,326,278,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,0,,0
TJ,Malone,A,7,Whipsnakes,10,37,19,19,0,19,18,74,0.25675675675675674,45,0.6081081081081081,2,0,1,19,17,326,235,2,0,0,0,0,0,0,0,0,0,0,0,1,0.5,1,4,0,0,,0
JT,Giles-Harris,D,1,Outlaws,10,0,0,0,0,0,0,0,0,0,0,0,0,0,15,4,78,74,9,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,,0
Nick,Grill,LSM,8,Outlaws,9,0,0,0,0,0,0,1,0,0,0,1,0,0,14,1,29,27,7,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,,0
Charlie,Hayes,SSDM,23,Waterdogs,5,1,1,1,0,1,0,4,0.25,3,0.75,0,0,0,11,2,33,27,2,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Nick,Washuta,G,18,Archers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Dylan,Molloy,M,4,Atlas,3,6,4,4,0,4,2,10,0.4,7,0.7,1,0,0,2,2,42,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Logan,McGovern,M,11,Atlas,3,3,3,3,0,3,0,11,0.2727272727272727,9,0.8181818181818182,0,0,0,4,3,59,45,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,1,0,0,,0
Chris,Merle,SSDM,23,Redwoods,10,2,2,2,0,2,0,8,0.25,5,0.625,2,0,1,17,3,73,62,14,0,0,0,0,0,0,0,0,0,0,0,4,2.5,0,0,0,0,,0
Levi,Anderson,M,24,Whipsnakes,7,13,9,9,0,9,4,27,0.3333333333333333,19,0.7037037037037037,0,0,0,6,8,129,94,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,,0
Jack,VanOverbeke,M,8,Archers,2,6,4,4,0,4,2,9,0.4444444444444444,6,0.6666666666666666,0,0,0,3,1,46,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Dyson,Williams,M,51,Archers,5,4,4,4,0,4,0,11,0.36363636363636365,7,0.6363636363636364,0,0,0,1,3,27,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
James,Reilly,FO,33,Chaos,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,5,4,0,24,12,12,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Marcus,Hudgins,D,11,Waterdogs,7,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,43,42,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Pat,Kavanagh,A,51,Cannons,6,12,8,8,0,8,4,30,0.26666666666666666,19,0.6333333333333333,1,0,1,3,8,138,100,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,0,0,,0
Brett,Kennedy,LSM,11,Whipsnakes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Adam,Poitras,M,51,Whipsnakes,7,13,10,10,0,10,3,27,0.37037037037037035,19,0.7037037037037037,0,0,0,18,12,139,100,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,0
Jack,Koras,M,15,Whipsnakes,6,5,4,4,0,4,1,15,0.26666666666666666,11,0.7333333333333333,0,0,0,17,1,78,62,4,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,0,0,0,,0
Chris,Fake,D,31,Redwoods,10,2,1,0,1,2,0,5,0.2,2,0.4,5,0.2,2,12,4,74,65,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Alec,Stathakis,FO,73,Waterdogs,7,0,0,0,0,0,0,4,0,0,0,2,0,0,26,3,26,19,0,163,73,89,0.44785276073619634,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Ricky,Miezan,SSDM,45,Redwoods,4,0,0,0,0,0,0,2,0,1,0.5,1,0,1,2,0,9,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Chase,Yager,SSDM,38,Atlas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Matt,Knote,G,43,Outlaws,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Eli,Fisher,SSDM,3,Archers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Jack,Hannah,M,3,Waterdogs,7,12,9,9,0,9,3,46,0.1956521739130435,26,0.5652173913043478,5,0,3,11,15,156,95,1,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,1,0,0,,0
Wheaton,Jackoboice,SSDM,55,Whipsnakes,6,1,1,1,0,1,0,6,0.16666666666666666,4,0.6666666666666666,2,0,2,5,1,43,36,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Brett,Makar,D,43,Atlas,10,2,0,0,0,0,2,2,0,1,0.5,2,0,1,20,5,84,77,6,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,,0
